unit: cm^{-1}, only max(dg)>1.000e-04 are saved; dg/dQ_alpha * Q_alpha 
mode:    8 freq=   12.8000 
 -5.3738328e+00  -2.9469777e+01   1.2005075e+01 
 -2.9387063e+01   2.5852615e+01   8.6293275e+00 
  1.1962823e+01   8.6986611e+00   1.6726741e+01 
mode:    9 freq=   26.3200 
 -1.0939216e+01   9.0638802e+00  -3.9878598e+00 
  9.0873455e+00  -1.7061817e+01   4.0894030e+00 
 -3.9767262e+00   4.0958267e+00   4.5221585e+00 
mode:   10 freq=   42.4000 
  7.8828073e+00   1.2614925e+01  -2.7731699e+00 
  1.2632225e+01  -6.9655158e+00  -4.4861540e+00 
 -2.7745841e+00  -4.4995385e+00  -1.6314736e+00 
mode:   11 freq=   43.0900 
  1.6926484e+01   8.3113212e+00  -1.7910627e-01 
  8.3351261e+00  -2.2479560e+00  -4.8907083e+00 
 -1.7096803e-01  -4.8987677e+00   7.2207321e-01 
mode:   12 freq=   43.6400 
 -1.7851464e+01   2.2354443e+00  -5.1613375e+00 
  2.2650188e+00  -5.2485901e+00   1.9920556e+00 
 -5.1435289e+00   1.9948427e+00  -2.9051394e+00 
mode:   13 freq=   68.8400 
  2.2993466e+01   1.7488335e+01  -6.2459370e+00 
  1.7471414e+01  -5.9104145e+00  -4.5403499e+00 
 -6.2420176e+00  -4.5271618e+00   6.6869243e+00 
mode:   14 freq=   76.0900 
 -6.9143694e+00  -9.7373589e+00   8.5968267e+00 
 -9.7241007e+00   5.8144242e+00   5.9561212e-02 
  8.5648852e+00   7.0699988e-02  -1.4719043e+00 
mode:   15 freq=   76.6500 
 -2.2493555e+01  -7.5396440e+00   9.9248847e+00 
 -7.5119437e+00  -5.6433687e-01  -2.3390464e+00 
  9.9272108e+00  -2.3416143e+00  -1.6249050e+01 
mode:   16 freq=   76.9200 
 -1.5109946e+00   6.0677362e-01   6.2327200e+00 
  5.7393703e-01  -2.7982862e+00  -3.4117113e+00 
  6.2549784e+00  -3.4339200e+00  -6.7527979e+00 
mode:   17 freq=   82.9200 
 -6.9524711e+00   1.0859708e+00   5.3106783e+00 
  1.0655375e+00  -1.1409596e+01  -3.0835788e+00 
  5.3251950e+00  -3.0970044e+00  -1.3960427e+01 
mode:   18 freq=   83.5600 
 -3.0130092e+00  -4.0697237e+00   1.0417797e-01 
 -4.0438941e+00   7.6936024e+00   3.2993819e+00 
  9.4387596e-02   3.3271572e+00   6.4322077e+00 
mode:   19 freq=  103.4400 
 -6.4482082e+00   1.3346690e+00  -9.1734252e+00 
  1.2854533e+00   1.9178608e+00   1.9841870e+00 
 -9.1839237e+00   1.9772609e+00   1.0116420e+00 
